Wellenlänge,PL,PL NaOH,Korrigierte PL,Energie,PL,PL normiert
nm,w.E.,w.E.,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c5_em-2,NaOH_em-1,TDBC_NaOH_c5_em-2,,TDBC_NaOH_c5_em-2,TDBC_NaOH_c5_em-2
673,97.8337,86.9475,10.8862,1.84249628528975,3976.35135467742,0.0172979762479286
674,98.5672,89.7266,8.84059999999999,1.83976261127596,3238.76806903226,0.0140893316846279
675,99.0327,92.7828,6.24990000000001,1.83703703703704,2296.46023185484,0.0099900916698948
676,98.6863,90.1254,8.5609,1.83431952662722,3154.94019225807,0.0137246625465125
677,94.5092,91,3.50920000000001,1.83161004431315,1297.07107,0.00564253572168439
678,110.807,96.5645,14.2425,1.82890855457227,5279.87852419355,0.0229685973791061
679,100.049,93.9968,6.05220000000001,1.82621502209131,2250.25188725807,0.00978907551815287
680,95.2179,97.468,-2.2501,1.82352941176471,-839.069548387098,-0.00365013144557436
681,102.377,92.4576,9.9194,1.8208516886931,3709.86359951613,0.0161386976912887
682,100.047,93.6177,6.4293,1.81818181818182,2411.63043,0.0104911065889212
683,115.006,94.204,20.802,1.81551976573939,7825.72917580645,0.0340435905510679
684,102.248,96.0352,6.2128,1.81286549707602,2344.10948129032,0.0101973760649212
685,110.867,109.338,1.52900000000001,1.81021897810219,578.584697580649,0.00251696680284355
686,111.338,109.881,1.45699999999999,1.80758017492711,552.950299999998,0.002405451707489
687,116.37,110.587,5.783,1.80494905385735,2201.12639274194,0.00957536914225421
688,119.258,115.883,3.375,1.80232558139535,1288.33548387097,0.00560453405938308
689,126.034,110.016,16.018,1.79970972423803,6132.32336935484,0.0266769142175876
690,121.186,116.129,5.057,1.79710144927536,1941.64330645161,0.00844656238876918
691,130.273,121.714,8.559,1.794500723589,3295.77409596774,0.0143373200568724
692,131.607,123.058,8.54899999999999,1.79190751445087,3301.45833548387,0.0143620477107861
693,119.688,125.459,-5.771,1.78932178932179,-2235.09433790323,-0.00972313694650011
694,117.674,127.027,-9.35299999999999,1.78674351585014,-3632.85605483871,-0.0158036984520554
695,133.364,121.21,12.154,1.7841726618705,4734.42407258065,0.0205957542103986
696,126.387,137.014,-10.627,1.7816091954023,-4151.52325161291,-0.0180600113505184
697,128.723,139.014,-10.291,1.77905308464849,-4031.82291854839,-0.0175392893786576
698,142.428,133.047,9.381,1.77650429799427,3685.85542258065,0.0160342570024905
699,139.355,131.802,7.553,1.77396280400572,2976.13173629032,0.0129468076367293
700,138.639,125.226,13.413,1.77142857142857,5300.29838709678,0.0230574281367479
701,148.93,129.508,19.422,1.76890156918688,7696.76630806451,0.033482574578362
702,140.408,128.432,11.976,1.76638176638177,4759.53282580645,0.0207049826407294
703,141.893,133.373,8.52000000000001,1.76386913229018,3395.6940967742,0.0147719933657615
704,133.523,132.878,0.64500000000001,1.76136363636364,257.80025806452,0.00112148609188277
705,147.19,128.498,18.692,1.75886524822695,7492.2510483871,0.0325928895911243
706,132.434,132.087,0.347000000000008,1.75637393767705,139.481687096778,6.06775079768274E-4
707,139.29,126.245,13.045,1.75388967468175,5258.49210080645,0.0228755618772651
708,143.121,137.394,5.727,1.75141242937853,2315.11203870968,0.0100712310067334
709,149.603,135.247,14.356,1.74894217207334,5819.74873870968,0.025317147925747
710,158.444,142.833,15.611,1.74647887323944,6346.37508064516,0.0276080848027455
711,150.826,149.605,1.221,1.74402250351617,497.775113709679,0.00216542788243081
712,151.026,139.037,11.989,1.74157303370787,4901.41259354839,0.0213221898826334
713,143.781,148.251,-4.47,1.73913043478261,-1832.58825,-0.00797214964000704
714,155.648,148.774,6.874,1.73669467787115,2826.07879354839,0.0122940453408551
