TK_NaOH_abs,,
Wavelength (nm),Abs,
486,-0.02344790101,
485,-0.02342430688,
484,-0.02334954217,
483,-0.02325989679,
482,-0.02324051224,
481,-0.02327643335,
480,-0.02318554558,
479,-0.02332771011,
478,-0.02293648943,
477,-0.02339065447,
476,-0.02349930257,
475,-0.02331436425,
474,-0.02311692573,
473,-0.02319663763,
472,-0.02268724144,
471,-0.02328629792,
470,-0.02334213443,
469,-0.02316439152,
468,-0.02335891314,
467,-0.02351990156,
466,-0.02328879945,
465,-0.02318692021,
464,-0.02359390073,
463,-0.02326907404,
462,-0.02309365757,
461,-0.02325631492,
460,-0.02345167659,
459,-0.02325714938,
458,-0.02343647182,
457,-0.02315167896,
456,-0.02328767069,
455,-0.023291694,
454,-0.023349002,
453,-0.02324336022,
452,-0.02332049608,
451,-0.02286940254,
450,-0.02318554558,
449,-0.02309400216,
448,-0.02331588417,
447,-0.02281831764,
446,-0.02319217287,
445,-0.02340630256,
444,-0.02327844501,
443,-0.02318083495,
442,-0.02325714938,
441,-0.02331519686,
440,-0.02321842872,
439,-0.02284970693,
438,-0.02318957075,
437,-0.02279734239,
436,-0.02324473299,
435,-0.02330548316,
434,-0.02316964418,
433,-0.02290162072,
432,-0.02307573892,
431,-0.02293781564,
430,-0.02320193872,
429,-0.02311889082,
428,-0.02298917994,
427,-0.02296187729,
426,-0.02331873029,
425,-0.02313754335,
424,-0.02307780087,
423,-0.02316085808,
422,-0.02326995693,
421,-0.02336985432,
420,-0.02331500128,
419,-0.02309606411,
418,-0.02295672148,
417,-0.02331343107,
416,-0.02321386524,
415,-0.02305521816,
414,-0.02285466716,
413,-0.02321818471,
412,-0.02296968549,
411,-0.02301088348,
410,-0.0229829438,
409,-0.02310681343,
408,-0.02282367274,
407,-0.02306410484,
406,-0.02294704877,
405,-0.02306837589,
404,-0.02286979556,
403,-0.02287067845,
402,-0.02273775078,
401,-0.02303322218,
400,-0.02278530784,
399,-0.02318883501,
398,-0.02290653251,
397,-0.0228175316,
396,-0.02293717675,
395,-0.02302654646,
394,-0.02256841213,
393,-0.02281635255,
392,-0.02297081612,
391,-0.02291493118,
390,-0.02256187424,
389,-0.02320939861,
388,-0.02277744748,
387,-0.02266842127,
386,-0.02309576981,
385,-0.02307623066,
384,-0.02295490541,
383,-0.02273377031,
382,-0.02305634692,
381,-0.02305276319,
380,-0.02284842916,
379,-0.02307789959,
378,-0.02286611125,
377,-0.02290314436,
376,-0.02269957401,
375,-0.02277076617,
374,-0.02274718322,
373,-0.02275096625,
372,-0.02273372188,
371,-0.02272212692,
370,-0.02273499966,
369,-0.02283074521,
368,-0.02292357385,
367,-0.02288600244,
366,-0.02281360328,
365,-0.02250716649,
364,-0.02293108776,
363,-0.02309287339,
362,-0.02289302647,
361,-0.02310165949,
360,-0.0229503382,
359,-0.02264272049,
358,-0.0226346124,
357,-0.02272075042,
356,-0.02278240956,
355,-0.02271426469,
354,-0.02271583863,
353,-0.0227257628,
352,-0.02273185551,
351,-0.02272595838,
350,-0.02287259512,
349,-0.02104952186,
348,-0.02126559988,
347,-0.02120273933,
346,-0.02157419361,
345,-0.02119958401,
344,-0.02149960212,
343,-0.02146447077,
342,-0.02129971236,
341,-0.02132085897,
340,-0.02142761089,
339,-0.02128103003,
338,-0.02152443491,
337,-0.02124015987,
336,-0.02135910653,
335,-0.02153709717,
334,-0.02139158733,
333,-0.02145939507,
332,-0.02132135257,
331,-0.02144638635,
330,-0.02125746571,
329,-0.02139114216,
328,-0.02122527175,
327,-0.02123439312,
326,-0.02120500803,
325,-0.02129626088,
324,-0.02119751275,
323,-0.02119075879,
322,-0.02117902413,
321,-0.02104907855,
320,-0.02105544135,
319,-0.02097765356,
318,-0.02112414129,
317,-0.02099832147,
316,-0.02107477374,
315,-0.02101341635,
314,-0.02086008154,
313,-0.02102737501,
312,-0.02097972482,
311,-0.02100651152,
310,-0.02089842036,
309,-0.02090488374,
308,-0.02084631473,
307,-0.02049715444,
306,-0.02066587098,
305,-0.02055068314,
304,-0.02060173824,
303,-0.02056791633,
302,-0.02044855617,
301,-0.0203703139,
300,-0.02036478184,
299,-0.02038760297,
298,-0.02034497075,
297,-0.0204121042,
296,-0.02032995224,
295,-0.02028247155,
294,-0.02019990049,
293,-0.02015680447,
292,-0.02014311403,
291,-0.02017874829,
290,-0.02013738081,
289,-0.02008780465,
288,-0.0200392101,
287,-0.02012359165,
286,-0.0200350564,
285,-0.01993152127,
284,-0.01999995485,
283,-0.01989082247,
282,-0.01994640566,
281,-0.01985353231,
280,-0.01985234581,
279,-0.01974253356,
278,-0.01979022101,
277,-0.01991456002,
276,-0.01973615214,
275,-0.01981055178,
274,-0.01970612071,
273,-0.01973991096,
272,-0.01965016127,
271,-0.01967435703,
270,-0.01963214949,
269,-0.01972309127,
268,-0.0195015911,
267,-0.01952554844,
266,-0.0194423385,
265,-0.01937644184,
264,-0.01939421706,
263,-0.01922361739,
262,-0.01915382408,
261,-0.01904443093,
260,-0.01898199134,
259,-0.01890735142,
258,-0.01883998513,
257,-0.01878822595,
256,-0.0186348483,
255,-0.01854005828,
254,-0.01841195114,
253,-0.01842877269,
252,-0.01824111491,
251,-0.01820522174,
250,-0.01811127923,
249,-0.01788130589,
248,-0.01791583374,
247,-0.01768660173,
246,-0.01767005026,
245,-0.017435316,
244,-0.01745132916,
243,-0.01731772721,
242,-0.0172509104,
241,-0.01702491008,
240,-0.01705099456,
239,-0.01677936688,
238,-0.01677338965,
237,-0.01664251834,
236,-0.01651968062,
235,-0.01633967273,
234,-0.0162964426,
233,-0.01619804651,
232,-0.01615525037,
231,-0.01598422229,
230,-0.0157378912,
229,-0.01543826144,
228,-0.01504241675,
227,-0.0144341765,
226,-0.01389418356,
225,-0.01311533526,
224,-0.01202957425,
223,-0.01069364976,
