200427_OS-Hellma_Küvette.csv;ohne Inhalt;Patrick;27.04.2020 17:46:06;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1292;0,065837
1293;0,06573
1294;0,065701
1295;0,066398
1296;0,065933
1297;0,066737
1298;0,06616
1299;0,065957
1300;0,066113
1301;0,066297
1302;0,066365
1303;0,067031
1304;0,066079
1305;0,066221
1306;0,066177
1307;0,066085
1308;0,066452
1309;0,066811
1310;0,065819
1311;0,066083
1312;0,065802
1313;0,066118
1314;0,066336
1315;0,066243
1316;0,066075
1317;0,066192
1318;0,065336
1319;0,065835
1320;0,065719
1321;0,066013
1322;0,065423
1323;0,065185
1324;0,064944
1325;0,065623
1326;0,064918
1327;0,065096
1328;0,065167
1329;0,064691
1330;0,064493
1331;0,064354
1332;0,064018
1333;0,06483
1334;0,064323
1335;0,064317
1336;0,064345
1337;0,063328
1338;0,063426
1339;0,063507
1340;0,064038
1341;0,06448
1342;0,064116
1343;0,063239
1344;0,063315
1345;0,062991
1346;0,063424
1347;0,064522
1348;0,064234
1349;0,063582
1350;0,064249
1351;0,06205
1352;0,063605
1353;0,063909
1354;0,064018
1355;0,064307
1356;0,06422
1357;0,062974
1358;0,064385
1359;0,062488
1360;0,064734
1361;0,065033
1362;0,064614
1363;0,06478
1364;0,06501
1365;0,064535
1366;0,065772
1367;0,065376
1368;0,065897
1369;0,065613
1370;0,065852
1371;0,065456
1372;0,0666
1373;0,065554
1374;0,067356
1375;0,066127
1376;0,064874
1377;0,065821
1378;0,066629
1379;0,065525
1380;0,068753
1381;0,066044
1382;0,067062
1383;0,066311
1384;0,066105
1385;0,067139
1386;0,067263
1387;0,066893
1388;0,066193
1389;0,066184
1390;0,067661
1391;0,068415
1392;0,069256
1393;0,070464
1394;0,07115
1395;0,070859
1396;0,070249
1397;0,070612
1398;0,070549
1399;0,070157
1400;0,068831
1401;0,0685
1402;0,068969
1403;0,066893
1404;0,067311
1405;0,068282
1406;0,067025
1407;0,066467
1408;0,065764
1409;0,065992
1410;0,066449
1411;0,065364
1412;0,065407
1413;0,06608
1414;0,064154
1415;0,064413
1416;0,064329
1417;0,065142
1418;0,065714
1419;0,065797
1420;0,064124
1421;0,064388
1422;0,063692
1423;0,065074
1424;0,06534
1425;0,065449
1426;0,06485
1427;0,064856
1428;0,063648
1429;0,064883
1430;0,064889
1431;0,065305
1432;0,065482
1433;0,065461
1434;0,064501
1435;0,065744
1436;0,065192
1437;0,065893
1438;0,066085
1439;0,065623
1440;0,065849
1441;0,066235
1442;0,065264
1443;0,066485
1444;0,066359
1445;0,066491
1446;0,066798
1447;0,06623
1448;0,066654
1449;0,066784
1450;0,06635
1451;0,067632
1452;0,066837
1453;0,066917
1454;0,066992
1455;0,067007
1456;0,067712
1457;0,067776
1458;0,066736
1459;0,067398
1460;0,066676
1461;0,066948
1462;0,067228
1463;0,067824
1464;0,067391
1465;0,067105
1466;0,06668
1467;0,066514
1468;0,066972
1469;0,067194
1470;0,066919
1471;0,06709
1472;0,066145
1473;0,066597
1474;0,066338
1475;0,066197
1476;0,066594
1477;0,066032
1478;0,066041
1479;0,066173
1480;0,06566
1481;0,066481
1482;0,065789
1483;0,065653
1484;0,065534
1485;0,065106
1486;0,065168
1487;0,064442
1488;0,065539
1489;0,06546
1490;0,065411
1491;0,064626
1492;0,064402
1493;0,064496
1494;0,064601
1495;0,065924
1496;0,065027
1497;0,064804
1498;0,064725
1499;0,063195
1500;0,064841
1501;0,065271
1502;0,06546
1503;0,065461
1504;0,065226
1505;0,063792
1506;0,064954
1507;0,064775
1508;0,065548
1509;0,066195
1510;0,065666
1511;0,064874
1512;0,065394
1513;0,064775
1514;0,066066
1515;0,065761
1516;0,06647
1517;0,066279
1518;0,066434
1519;0,06562
1520;0,066594
1521;0,066069
1522;0,067171
1523;0,067195
1524;0,06677
1525;0,067148
1526;0,067083
1527;0,066709
1528;0,067895
1529;0,067206
1530;0,067746
1531;0,06736
1532;0,067698
1533;0,067454
1534;0,068168
1535;0,067365
1536;0,068447
1537;0,067255
1538;0,067749
1539;0,067636
1540;0,068467
1541;0,068009
1542;0,068698
1543;0,067314
1544;0,06773
1545;0,067601
1546;0,067902
1547;0,068198
1548;0,068409
1549;0,067792
1550;0,067821
1551;0,067028
1552;0,067379
1553;0,067765
1554;0,067846
1555;0,067607
1556;0,067329
1557;0,066941
1558;0,067369
1559;0,066813
1560;0,067161
1561;0,067245
1562;0,067018
1563;0,066836
1564;0,066624
1565;0,066362
1566;0,066787
1567;0,066669
1568;0,066055
1569;0,066671
1570;0,065912
1571;0,065719
1572;0,066065
1573;0,066455
1574;0,066308
1575;0,066525
1576;0,065063
1577;0,065804
1578;0,065489
1579;0,066415
1580;0,066425
1581;0,066479
1582;0,065795
1583;0,065804
1584;0,064691
1585;0,066185
1586;0,066494
1587;0,067092
1588;0,066645
1589;0,066389
1590;0,065427
1591;0,066682
1592;0,066298
1593;0,067382
1594;0,067478
1595;0,067399
1596;0,066664
1597;0,067246
1598;0,066645
1599;0,068018
1600;0,067982
1601;0,068006
1602;0,068018
1603;0,067975
1604;0,067836
1605;0,068445
1606;0,067826
1607;0,069168
1608;0,0692
1609;0,068679
1610;0,068777
1611;0,06895
1612;0,068905
1613;0,069615
1614;0,068884
1615;0,069261
1616;0,069384
1617;0,069119
1618;0,069356
1619;0,069926
1620;0,069212
1621;0,069765
1622;0,068947
1623;0,069413
1624;0,06959
1625;0,069882
1626;0,069722
1627;0,069769
1628;0,06863
1629;0,069122
1630;0,069102
1631;0,069501
1632;0,069614
1633;0,069394
1634;0,068624
1635;0,068904
1636;0,068176
1637;0,068725
1638;0,068977
1639;0,068626
1640;0,068605
1641;0,06851
1642;0,06774
1643;0,068458
1644;0,068124
1645;0,068261
1646;0,068228
1647;0,067466
1648;0,067272
1649;0,0677
1650;0,067715
1651;0,068092
1652;0,067707
1653;0,067366
1654;0,067631
1655;0,066531
1656;0,067413
1657;0,068231
1658;0,068049
