200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1291;-0,001411
1292;-0,001334
1293;-0,001683
1294;-0,000577
1295;-0,000577
1296;-0,000242
1297;-0,001931
1298;-0,00149
1299;-0,001858
1300;-0,001148
1301;-0,000509
1302;-0,000599
1303;-0,001467
1304;-0,001151
1305;-0,002166
1306;-0,000895
1307;-0,000676
1308;-0,000406
1309;-0,000728
1310;-0,00087
1311;-0,001685
1312;-0,000275
1313;-0,000504
1314;-0,000052
1315;0,000008
1316;-0,000157
1317;-0,000311
1318;0,00016
1319;-0,000429
1320;0,000653
1321;0,000842
1322;0,000642
1323;0,000541
1324;0,000677
1325;0,000535
1326;0,001303
1327;0,001135
1328;0,001377
1329;0,001163
1330;0,000822
1331;0,001093
1332;0,001496
1333;0,001614
1334;0,001698
1335;0,001055
1336;0,001065
1337;0,001146
1338;0,001537
1339;0,001762
1340;0,00165
1341;0,001005
1342;0,001169
1343;0,001148
1344;0,001091
1345;0,001624
1346;0,000863
1347;0,000611
1348;0,000965
1349;0,000063
1350;0,000541
1351;0,000716
1352;-0,000029
1353;-0,000038
1354;-0,000188
1355;-0,000415
1356;0,000145
1357;-0,00012
1358;-0,000437
1359;-0,001488
1360;-0,00095
1361;-0,001957
1362;-0,001152
1363;-0,000417
1364;-0,000834
1365;-0,000502
1366;-0,001713
1367;-0,001426
1368;-0,001762
1369;-0,001344
1370;-0,000566
1371;-0,000695
1372;-0,000898
1373;-0,00148
1374;-0,001925
1375;-0,000886
1376;-0,00125
1377;0,000706
1378;-0,000531
1379;-0,001564
1380;-0,001716
1381;-0,000327
1382;-0,000652
1383;-0,000131
1384;0,000874
1385;-0,000333
1386;-0,000449
1387;0,000176
1388;-0,000915
1389;0,000749
1390;0,000484
1391;-0,000546
1392;0,00051
1393;0,001816
1394;0,000249
1395;0,001046
1396;0,000671
1397;0,001875
1398;0,00183
1399;0,001107
1400;0,000573
1401;0,001225
1402;0,001066
1403;0,002206
1404;0,00073
1405;0,000743
1406;0,001642
1407;0,001367
1408;0,001616
1409;0,002188
1410;0,001128
1411;0,001376
1412;0,000413
1413;0,001373
1414;0,001416
1415;0,00139
1416;0,000477
1417;0,000974
1418;0,000439
1419;0,000777
1420;0,000627
1421;0,000467
1422;0,000203
1423;0,000131
1424;-0,000293
1425;0,000182
1426;-0,000325
1427;0,000414
1428;-0,00045
1429;-0,000644
1430;-0,001094
1431;-0,001316
1432;-0,000815
1433;-0,000238
1434;-0,000566
1435;-0,000934
1436;-0,000777
1437;-0,002352
1438;-0,001317
1439;-0,000869
1440;-0,000581
1441;-0,000767
1442;-0,000947
1443;-0,002398
1444;-0,001348
1445;-0,001444
1446;-0,000738
1447;-0,000514
1448;-0,000325
1449;-0,001932
1450;-0,000873
1451;-0,001389
1452;-0,000367
1453;-0,000251
1454;-0,000107
1455;-0,000465
1456;0,00022
1457;-0,00124
1458;0,000373
1459;-0,000243
1460;0,000708
1461;0,000429
1462;0,000252
1463;0,000207
1464;0,000954
1465;0,000187
1466;0,001599
1467;0,000929
1468;0,00108
1469;0,000889
1470;0,001169
1471;0,001083
1472;0,001795
1473;0,001347
1474;0,001397
1475;0,001027
1476;0,001157
1477;0,001271
1478;0,002107
1479;0,001367
1480;0,001597
1481;0,001256
1482;0,000996
1483;0,001441
1484;0,001561
1485;0,001621
1486;0,001349
1487;0,000585
1488;0,001072
1489;0,000779
